ground_truth,model_prediction
pedal box pedal assembly,endplates
master cylinders,endplates
apps accelerator pedal position sensor,front wing
front hoop front roll hoop,front wing
roll hoop roll hoops,front wing
main hoop,front wing
front bulkhead front basket,front wing
chassis frame space frame,brakes
steering wheel,front wing
powertrain drivetrain,front wing
brakes brake system,uprights
accumulator accumulator container battery,steering wheel
rocker arms,endplates
uprights,uprights
wheel centers,aarm
steering column,endplates
steering rack,endplates
aero package aerodynamic package aero devices aerodynamic devices,pedal assembly
rear wing,steering wheel
undertray diffuser,brakes
endplates,endplates
front wing,accumulator
aarm aarms,brakes
toe rod toe rods,front wing
tie rod tie rods,endplates
pull rod pull rods,front wing
arbs antiroll bars,front wing
seat,steering wheel
nosecone and body panels,brakes
motor,endplates
firewall,brakes
