ground_truth,model_prediction
configuration vehicle must be open wheeled and open cockpit formula style body with four wheels that are not in straight line,v1 v1 configuration vehicle must be open wheeled and open cockpit formula style body with four wheels that are not in straight line
open wheel open wheel vehicles must satisfy all of following criteria top 180° of wheelstires must be unobstructed when viewed from vertically above wheel b wheelstires must be unobstructed when viewed from side c no part of vehicle may enter keep out zone defined by two lines extending vertically from positions 75 mm in front of and 75 mm aft of outer diameter of front and rear tires in side view elevation of vehicle with tires steered straight ahead this keep out zone will extend laterally from outside plane of wheeltire to inboard plane of wheeltire,v11 v11 open wheel open wheel vehicles must satisfy all of following criteria top 180° of wheelstires must be unobstructed when viewed from vertically above wheel b wheelstires must be unobstructed when viewed from side c no part of vehicle may enter keep out zone defined by two lines extending vertically from positions 75 mm in front of and 75 mm aft of outer diameter of front and rear tires in side view elevation of vehicle with tires steered straight ahead this keep out zone will extend laterally from outside plane of wheeltire to inboard plane of wheeltire
wheelbase vehicle must have minimum wheelbase of 1525 mm,vehicle must have minimum wheelbase of 1525 mm
track and center of gravity must combine to provide sufficient rollover stability see in92,track and center of gravity must combine to provide sufficient rollover stability see
smaller track of vehicle front or rear must be no less than 75 of larger track,smaller track of vehicle front or rear must be no less than 75 of larger track
ground clearance must be sufficient to prevent any portion of vehicle except tires from touching ground during dynamic events,ground clearance must be sufficient to prevent any portion of vehicle except tires from touching ground during dynamic events
distance to ground below lower side impact structure f645 f751 at its lowest point should be 75 mm or less,distance to ground below lower side impact structure f645 f751 at its lowest point should be 75 mm or less
intentional or excessive ground contact of any portion of vehicle other than tires will forfeit run or entire dynamic event intent is that sliding skirts or other devices that by design fabrication or as consequence of moving contact track surface are prohibited and any unintended contact with ground which causes damage or in opinion of dynamic event officials could result in damage to track will result in forfeit of run or entire dynamic event,v143 v143 intentional or excessive ground contact of any portion of vehicle other than tires will forfeit run or entire dynamic event intent is that sliding skirts or other devices that by design fabrication or as consequence of moving contact track surface are prohibited and any unintended contact with ground which causes damage or in opinion of dynamic event officials could result in damage to track will result in forfeit of run or entire dynamic event
vehicle must be able to accommodate drivers of sizes ranging from 5th percentile female up to 95th percentile male • accommodation includes driver position driver controls and driver equipment • anthropometric data may be found on fsae online website,v211 v211 vehicle must be able to accommodate drivers of sizes ranging from 5th percentile female up to 95th percentile male • accommodation includes driver position driver controls and driver equipment • anthropometric data may be found on fsae online website
driver’s head and hands must not contact ground in any rollover attitude,driver’s head and hands must not contact ground in any rollover attitude
visibility driver must have sufficient visibility to front and sides of vehicle b when seated in normal driving position driver must have minimum field of vision of 100° to both sides c if mirrors are required for this rule they must remain in place and adjusted to enable required visibility throughout all dynamic events,v22 v22 visibility driver must have sufficient visibility to front and sides of vehicle b when seated in normal driving position driver must have minimum field of vision of 100° to both sides c if mirrors are required for this rule they must remain in place and adjusted to enable required visibility throughout all dynamic events
vehicle must have fully operational suspension system with shock absorbers front and rear with usable minimum wheel travel of 50 mm with driver seated,v311 v311 vehicle must have fully operational suspension system with shock absorbers front and rear with usable minimum wheel travel of 50 mm with driver seated
officials may disqualify vehicles which do not represent serious attempt at operational suspension system or which demonstrate handling inappropriate for autocross circuit,officials may disqualify vehicles which do not represent serious attempt at operational suspension system or which demonstrate handling inappropriate for autocross circuit
all suspension mounting points must be visible at technical inspection by direct view or by removing any covers,v313 all suspension mounting points must be visible at technical inspection by direct view or by removing any covers
fasteners in suspension system are critical fasteners see t82,fasteners in suspension system are critical fasteners see t82
all spherical rod ends and spherical bearings on suspension and steering must be one of • mounted in double shear • captured by having screwbolt head or washer with outside diameter that is larger than spherical bearing housing inside diameter,v315 v315 all spherical rod ends and spherical bearings on suspension and steering must be one of • mounted in double shear • captured by having screwbolt head or washer with outside diameter that is larger than spherical bearing housing inside diameter
steering wheel must be mechanically connected to front wheels,steering wheel must be mechanically connected to front wheels
electrically actuated steering of front wheels is prohibited,electrically actuated steering of front wheels is prohibited
steering systems must use rigid mechanical linkage capable of tension and compression loads for operation,steering systems must use rigid mechanical linkage capable of tension and compression loads for operation
steering system must have positive steering stops that prevent steering linkages from locking up inversion of four bar linkage at one of pivots stops must prevent wheels and tires from contacting suspension bodywork or chassis during track events b may be placed on uprights or on rack,v324 v324 steering system must have positive steering stops that prevent steering linkages from locking up inversion of four bar linkage at one of pivots stops must prevent wheels and tires from contacting suspension bodywork or chassis during track events b may be placed on uprights or on rack
allowable steering system free play is limited to seven degrees 7° total measured at steering wheel,allowable steering system free play is limited to seven degrees 7° total measured at steering wheel
steering rack must be mechanically attached to chassis f514,steering rack must be mechanically attached to chassis f514
joints between all components attaching steering wheel to steering rack must be mechanical and be visible at technical inspection bonded joints without mechanical backup are not permitted,v327 v327 joints between all components attaching steering wheel to steering rack must be mechanical and be visible at technical inspection bonded joints without mechanical backup are not permitted
fasteners in steering system are critical fasteners see t82,v328 v328 fasteners in steering system are critical fasteners see t82
spherical rod ends and spherical bearings in steering must meet v315 above,v329 v329 spherical rod ends and spherical bearings in steering must meet v315 above
rear wheel steering may be used rear wheel steering must incorporate mechanical stops to limit range of angular movement of rear wheels to maximum of six degrees 6° b team must provide ability for steering angle range to be verified at technical inspection with driver in vehicle c rear wheel steering may be electrically actuated,v3210 rear wheel steering may be used rear wheel steering must incorporate mechanical stops to limit range of angular movement of rear wheels to maximum of six degrees 6° b team must provide ability for steering angle range to be verified at technical inspection with driver in vehicle c rear wheel steering may be electrically actuated
in any angular position steering wheel must meet t144,in any angular position steering wheel must meet t144
steering wheel must be attached to column with quick disconnect,v332 v332 steering wheel must be attached to column with quick disconnect
driver must be able to operate quick disconnect while in normal driving position with gloves on,driver must be able to operate quick disconnect while in normal driving position with gloves on
